推荐日,推荐排名,极度推荐排名,极度推荐分,涨停基因分,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,T+6累计%,5日最高涨幅%,5日最低涨幅%,6日最高涨幅%,6日最低涨幅%,首次≥3%,首次≥5%,首次≥8%,6日内涨停,6日涨停次数,6日内跌停,6日跌停次数,买入后6日最高涨幅%,买入后6日最低涨幅%,买入后首次≥8%,6日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2025-08-18,1,1,79.8,65.7,55.0,600939,重庆建工,3.71,-0.81,-1.62,-1.35,-1.89,-0.81,-1.62,0.27,-2.7,0.27,-2.7,,,,否,0,否,0,1.09,-1.9,,完整6日,是,3.68,T+6收盘退出,5,3.68,-0.2,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.09,-1.9,5日内未触发关键退出信号,-0.81
2025-08-20,1,1,78.2,62.7,42.5,603879,永悦科技,7.04,0.57,1.99,1.85,1.99,-1.56,-2.56,2.98,-1.56,2.98,-4.83,,,,否,0,否,0,2.98,-4.83,,完整6日,是,7.04,T+6收盘退出,5,6.93,-1.76,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.98,-1.56,5日内未触发关键退出信号,-1.56
2025-08-21,1,1,83.9,65.1,49.7,603333,福华尚纬,8.24,-1.09,0.36,-0.24,-3.16,-1.33,-3.03,1.33,-4.13,1.33,-4.13,,,,否,0,否,0,0.85,-4.59,,完整6日,是,8.28,T+6收盘退出,5,8.13,-2.01,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.85,-4.59,2025-08-27触发软止损预警；2025-08-28触发软止损预警,-1.33
2025-08-25,1,1,81.9,64.7,50.7,600939,重庆建工,3.68,-0.82,-3.53,-4.62,-5.98,-4.89,-5.16,0.0,-7.88,0.0,-7.88,,,,否,0,否,0,0.27,-7.63,,完整6日,是,3.67,T+6收盘退出,5,3.5,-4.83,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.27,-7.63,2025-08-27触发软止损预警；2025-08-28触发软止损预警；2025-08-29触发软止损预警；2025-09-01触发软止损预警,-4.89
2025-08-26,1,1,87.2,67.0,69.9,600666,奥瑞德,4.2,-4.29,-5.24,-6.9,-7.14,-11.19,-11.9,1.67,-11.43,1.67,-12.14,,,,否,0,否,0,0.71,-12.97,,完整6日,是,4.24,结构止损退出,5,3.73,-12.23,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.71,-12.26,2025-08-28触发软止损预警；2025-08-29触发软止损预警；2025-09-01触发软止损预警；2025-09-02触发软止损预警；2025-09-02收盘确认结构破坏,-11.19
2025-09-01,1,1,78.1,67.7,52.0,600828,茂业商业,4.15,0.24,5.54,15.66,7.47,6.99,12.29,15.66,-1.45,15.66,-1.45,T+2,T+2,T+3,否,0,否,0,16.22,-0.97,T+2,完整6日,是,4.13,强势止盈/清仓,2,4.38,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,8.47,-0.97,2025-09-03达到第一止盈：卖出50%；达到第二止盈,6.99
2025-09-02,1,1,88.8,68.9,74.7,002562,兄弟科技,6.9,-4.06,-7.97,-6.09,-1.74,-3.77,-5.36,0.43,-10.87,0.43,-10.87,,,,否,0,否,0,0.43,-10.87,,完整6日,是,6.9,T+6收盘退出,5,6.64,-3.97,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.43,-10.87,2025-09-04触发软止损预警；2025-09-05触发软止损预警；2025-09-08触发软止损预警；2025-09-09触发软止损预警,-3.77
2025-09-04,1,1,84.0,69.4,52.2,002370,亚太药业,6.89,-6.39,-7.4,-8.27,-10.89,-11.03,-10.45,-1.31,-14.95,-1.31,-14.95,,,,否,0,否,0,1.04,-12.93,,完整6日,是,6.73,结构止损退出,4,6.14,-8.97,3.0,6.0,-3.0,-6.0,50.0,,T+4,1.04,-9.21,2025-09-08触发软止损预警；2025-09-09触发软止损预警；2025-09-10触发软止损预警；2025-09-10收盘确认结构破坏,-11.03
2025-09-08,1,1,84.7,56.4,48.8,601956,东贝集团,7.0,-1.14,-1.71,-0.71,-2.71,-3.43,2.29,0.0,-3.71,3.71,-3.71,T+6,,,否,0,否,0,3.71,-3.71,,完整6日,是,7.0,T+6收盘退出,5,6.76,-3.63,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.0,-3.71,2025-09-11触发软止损预警；2025-09-15触发软止损预警,-3.43
2025-09-08,2,2,84.4,59.3,60.6,601279,英利汽车,4.28,1.4,1.87,1.64,0.23,2.57,3.74,5.14,-0.7,5.14,-0.7,T+2,T+5,,否,0,否,0,5.63,-0.23,,完整6日,是,4.26,移动止盈退出,4,4.29,1.65,3.0,6.0,-3.0,-6.0,50.0,T+2,T+4,3.52,-0.23,2025-09-10达到第一止盈：卖出50%；2025-09-12从峰值回撤约2.2%后退出,2.57
