排名,代码,名称,极度推荐,极度推荐排名,极度推荐分,启动评分,推荐度,涨停基因分,MACD阶段,MACD距,MACD距变化1日%,MACD距变化2日%,绿柱连续缩短,修复质量,前期形态,60日涨幅%,60日高点回撤%,近20日位置%,最新价,今日涨跌%,今日状态,MA5状态,MA5,MA10,MA20,MA60,RSI14,RSI状态,K值,D值,J值,KDJ状态,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),近一年涨停次数,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,市场评分,市场状态,严格匹配度,收盘交易状态
31,002678,珠江钢琴,,,57.0,68.7,56.2,45.8,早期修复,0.0732,6.9,14.7,3,64.0,正常修复,1.4,-18.73,13.1,4.34,-1.14,低位震荡/轻微回落,早期修复｜未站稳5日线,4.37,4.52,4.75,4.49,37.74,中性,15.43,18.65,8.97,空头,1.37,0.51,-11.43,1.48,4364.45,10,40.3,-1.86,-2.27,-11.54,61.9,震荡偏强，精选个股,81.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
32,600909,华安证券,TOP5,2,86.3,90.1,55.1,56.3,早期修复,0.0213,45.0,51.8,3,100.0,正常修复,-34.03,-38.16,41.2,7.9,2.2,温和上涨,早期修复｜站稳5日线,7.73,7.87,8.06,8.57,45.82,中性,30.08,21.82,46.6,多头,1.1,0.67,-3.3,2.2,68655.89,6,52.5,1.48,2.27,-3.41,61.9,震荡偏强，精选个股,81.1,结构偏弱，不建议因为低价或历史涨停次数单独介入
33,002793,罗欣药业,,,78.3,78.1,54.7,53.8,早期修复,0.0296,33.0,43.5,3,90.0,前期上涨后回撤,21.58,-16.3,52.3,4.62,2.21,温和上涨,早期修复｜站稳5日线,4.53,4.61,4.74,4.79,44.94,中性,31.3,23.18,47.54,多头,1.44,0.5,-7.6,2.21,9549.91,5,51.2,1.5,2.87,-7.71,61.9,震荡偏强，精选个股,70.9,结构偏弱，不建议因为低价或历史涨停次数单独介入
34,002195,岩山科技,,,81.6,84.1,53.6,55.5,早期修复,0.0136,39.0,40.0,3,98.0,正常修复,-5.95,-14.68,40.5,6.16,1.65,温和上涨,早期修复｜站上5日线,6.12,6.17,6.28,6.4,42.73,中性,27.73,25.38,32.42,多头,1.2,0.85,-2.69,1.65,53546.84,8,50.9,0.93,1.02,-2.79,61.9,震荡偏强，精选个股,81.1,结构偏弱，不建议因为低价或历史涨停次数单独介入
35,000779,甘咨询,,,77.6,82.1,52.6,46.0,修复中,0.1006,24.4,36.3,2,91.0,前期大涨后深回撤,15.4,-39.74,21.6,8.84,1.14,温和上涨,修复中｜站稳5日线,8.67,9.13,9.53,10.29,41.1,中性,17.01,17.08,16.86,空头,1.09,0.55,-9.15,2.7,33245.82,5,48.0,0.43,1.7,-9.25,61.9,震荡偏强，精选个股,79.3,结构偏弱，不建议因为低价或历史涨停次数单独介入
36,003032,传智教育,,,80.6,76.7,52.4,71.4,早期修复,0.2392,16.5,29.3,5,93.0,前期大涨后深回撤,76.77,-32.38,22.4,8.98,-0.11,低位震荡/轻微回落,早期修复｜站稳5日线,8.84,9.14,9.88,8.63,42.89,中性,15.52,12.81,20.93,多头,1.08,0.48,-16.54,3.21,25506.15,9,42.5,-0.83,0.99,-16.65,61.9,震荡偏强，精选个股,81.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
37,002333,罗普斯金,,,71.7,83.7,51.5,36.4,早期修复,0.0489,12.0,20.8,3,80.0,前期大涨后深回撤,14.5,-20.57,32.7,5.29,0.0,低位震荡/轻微回落,早期修复｜站稳5日线,5.26,5.38,5.5,5.28,44.24,中性,26.8,23.29,33.81,多头,1.01,0.59,1.54,2.51,4580.7,5,49.4,-0.72,-0.36,1.43,61.9,震荡偏强，精选个股,89.7,结构偏弱，不建议因为低价或历史涨停次数单独介入
38,002045,国光电器,,,76.4,83.7,51.1,40.0,早期修复,0.0474,15.8,39.4,3,93.0,前期上涨后回撤,15.73,-9.32,53.7,9.05,-1.09,低位震荡/轻微回落,早期修复｜站稳5日线,8.92,9.03,9.08,8.41,53.19,中性,41.34,31.96,60.1,多头,1.01,0.53,-0.66,3.27,13352.09,5,49.4,-1.81,1.89,-0.77,61.9,震荡偏强，精选个股,71.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
39,603335,迪生力,,,83.3,73.1,50.9,73.4,早期修复,0.0313,25.3,46.1,3,96.0,前期大涨后深回撤,-31.53,-35.59,35.4,6.19,-0.64,低位震荡/轻微回落,早期修复｜站稳5日线,6.11,6.24,6.42,6.62,43.28,中性,26.89,21.01,38.66,多头,1.23,0.91,-8.02,2.81,7278.51,11,45.2,-1.36,0.53,-8.13,61.9,震荡偏强，精选个股,83.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
40,000908,石药景峰,,,78.9,89.7,49.8,62.6,早期修复,0.0265,19.6,26.5,3,85.0,前期上涨后回撤,17.69,-21.94,28.6,6.12,0.49,低位震荡/轻微回落,早期修复｜站上5日线,6.12,6.2,6.33,6.5,39.47,中性,26.17,24.26,29.99,多头,1.07,0.67,-8.52,1.12,5551.33,5,44.1,-0.22,-1.72,-8.63,61.9,震荡偏强，精选个股,83.8,结构偏弱，不建议因为低价或历史涨停次数单独介入
41,601678,滨化股份,,,78.4,68.1,48.4,60.8,早期修复,0.0268,38.8,44.2,5,87.0,前期大涨后深回撤,-3.38,-23.47,44.6,6.0,2.92,偏强上涨｜谨防追高,早期修复｜站上5日线,5.9,5.97,6.16,6.3,44.79,中性,28.19,22.04,40.49,多头,1.31,0.54,-7.26,3.0,41417.66,7,51.4,2.2,2.07,-7.37,61.9,震荡偏强，精选个股,67.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
42,002374,中锐股份,,,84.2,81.1,48.1,67.2,早期修复,0.0074,41.9,50.8,3,96.0,正常修复,-7.74,-11.68,60.0,3.1,1.64,温和上涨,早期修复｜站稳5日线,3.04,3.08,3.1,3.08,50.74,中性,40.22,33.48,53.72,多头,1.01,0.99,0.32,2.36,4683.27,11,53.4,0.92,2.18,0.22,61.9,震荡偏强，精选个股,84.0,价格仍在20日线上方，但结构优势有限，等待进一步确认
43,000788,北大医药,,,61.9,79.7,47.1,49.8,修复中,0.0481,7.2,13.3,2,64.0,正常修复,10.19,-15.74,20.0,5.3,-0.38,低位震荡/轻微回落,修复中｜未站稳5日线,5.33,5.43,5.54,5.41,42.11,中性,18.64,19.78,16.37,空头,1.15,0.69,-5.86,2.89,6796.26,6,44.9,-1.09,-1.1,-5.97,61.9,震荡偏强，精选个股,81.7,结构偏弱，不建议因为低价或历史涨停次数单独介入
44,000676,智度股份,,,71.3,79.7,46.9,69.0,修复中,0.0381,5.7,20.8,2,70.0,前期大涨后深回撤,32.15,-18.79,27.9,6.7,-1.03,低位震荡/轻微回落,修复中｜站稳5日线,6.69,6.83,6.84,6.59,46.39,中性,27.32,30.89,20.19,空头,1.01,0.59,3.55,2.27,21877.52,5,48.8,-1.75,-0.68,3.45,61.9,震荡偏强，精选个股,87.3,结构偏弱，不建议因为低价或历史涨停次数单独介入
45,000955,欣龙控股,,,78.1,82.1,44.7,54.5,修复中,0.0207,26.6,42.2,2,86.0,正常修复,-6.08,-15.07,57.4,4.17,0.48,低位震荡/轻微回落,修复中｜站稳5日线,4.09,4.17,4.22,4.17,48.84,中性,41.37,34.94,54.25,多头,1.19,1.03,0.0,2.72,4566.96,8,50.8,-0.23,1.17,-0.11,61.9,震荡偏强，精选个股,86.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
46,603682,锦和商管,,,70.3,76.7,44.2,68.2,早期修复,0.1836,10.2,18.5,3,75.0,前期大涨后深回撤,31.66,-28.75,12.5,9.69,-0.51,低位震荡/轻微回落,早期修复｜未站稳5日线,9.75,10.06,10.64,9.9,38.07,中性,12.37,11.1,14.9,多头,1.01,0.74,-15.15,1.97,8607.35,8,38.9,-1.23,-2.8,-15.26,61.9,震荡偏强，精选个股,87.2,结构偏弱，不建议因为低价或历史涨停次数单独介入
47,600664,哈药股份,,,85.1,60.7,43.0,83.0,早期修复,0.1861,17.6,29.8,5,93.0,前期大涨后深回撤,155.97,-21.14,46.8,7.5,1.08,温和上涨,早期修复｜站稳5日线,7.34,7.42,8.04,6.5,47.97,中性,32.49,23.34,50.78,多头,1.38,1.1,-8.2,4.43,379452.86,12,54.2,0.36,7.5,-8.31,61.9,震荡偏强，精选个股,79.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
48,002950,奥美医疗,,,58.0,69.7,42.4,45.3,修复中,0.059,11.3,16.7,2,70.0,正常修复,-7.26,-12.82,12.0,8.43,0.0,低位震荡/轻微回落,修复中｜未站稳5日线,8.47,8.66,8.9,9.08,34.81,中性,12.42,15.2,6.86,空头,1.52,0.88,-9.45,3.06,5729.11,6,43.3,-0.72,-1.54,-9.56,61.9,震荡偏强，精选个股,70.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
49,605055,迎丰股份,,,80.0,64.1,42.2,53.3,修复中,0.0924,23.6,32.8,2,91.0,正常修复,-16.36,-22.31,42.4,8.95,1.94,温和上涨,修复中｜站稳5日线,8.74,9.04,9.42,9.42,42.93,中性,26.09,18.89,40.49,多头,1.04,0.96,-7.16,1.94,3583.11,7,49.2,1.22,0.99,-7.26,61.9,震荡偏强，精选个股,65.9,结构偏弱，不建议因为低价或历史涨停次数单独介入
50,000952,广济药业,,,68.7,82.7,41.2,47.9,修复中,0.0534,10.2,17.5,2,70.0,正常修复,15.94,-7.25,36.7,6.4,0.16,低位震荡/轻微回落,修复中｜站稳5日线,6.35,6.49,6.51,6.02,50.52,中性,31.25,33.53,26.71,空头,1.05,0.86,0.31,4.04,3452.4,8,49.3,-0.56,-0.11,0.21,61.9,震荡偏强，精选个股,85.6,结构偏弱，不建议因为低价或历史涨停次数单独介入
